Ref,Val,Package,PosX,PosY,Rot,Side
"LED1","XL-2012IRC-940","LEDC2012X105N",127.850000,-110.800000,-90.000000,bottom
"Q1","LC191PTDT","AP1608P1CP22",127.850000,-106.400000,-90.000000,bottom
"C1","10n","C_0402_1005Metric",130.210000,-107.150000,0.000000,top
"C2","10n","C_0402_1005Metric",129.200000,-94.400000,90.000000,top
"C3","1u","C_0402_1005Metric",128.200000,-94.400000,90.000000,top
"C4","10n","C_0402_1005Metric",129.250000,-92.390000,90.000000,top
"C5","22u","C_0402_1005Metric",135.200000,-99.850000,0.000000,top
"C6","100n","C_0402_1005Metric",135.200000,-100.965000,0.000000,top
"C14","22u","C_0402_1005Metric",128.700000,-100.950000,-90.000000,top
"C15","22u","C_0402_1005Metric",129.800000,-100.950000,-90.000000,top
"C16","100n","C_0402_1005Metric",130.900000,-100.950000,-90.000000,top
"D1","D","D_SOD-123",97.200000,-104.700000,180.000000,top
"IC1","SI4174DY-T1-GE3","SOIC127P600X175-8N",104.295000,-110.888000,90.000000,top
"IC2","TPS564247DRLR","SOT50P160X60-6N",132.800000,-101.650000,-90.000000,top
"IC3","ATTINY816-MNR","QFN40P300X300X90-21N",132.050000,-94.400000,0.000000,top
"IC4","ZXTD4591E6TA","SOT95P280X145-6N",123.500000,-93.600000,180.000000,top
"J4","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",127.400000,-87.500000,90.000000,top
"L1","1.5u","L_0805_2012Metric",132.200000,-99.050000,0.000000,top
"LED2","XL-2012IRC-940","LEDC2012X105N",122.300000,-113.300000,180.000000,top
"LED4","LKIR30102C","APA3010P3C",101.831768,-87.827852,165.000000,top
"Q2","C2874188","APA3010P3C",96.670000,-100.540000,-15.000000,top
"Q4","LC191PTDT","AP1608P1CP22",126.550000,-113.200000,180.000000,top
"Q7","2N7002","SOT-23",118.100000,-93.467500,-90.000000,top
"Q8","SI7149ADP-T1-GE3","PowerPAK_SO-8_Single",104.200000,-103.500000,-90.000000,top
"R1","10k","R_0402_1005Metric",130.210000,-108.200000,0.000000,top
"R2","1k","R_0402_1005Metric",132.800000,-90.800000,90.000000,top
"R3","100R","R_0402_1005Metric",130.210000,-109.250000,0.000000,top
"R4","20k","R_0402_1005Metric",130.000000,-104.260000,-90.000000,top
"R5","10k","R_0402_1005Metric",128.100000,-92.390000,90.000000,top
"R6","100R","R_0402_1005Metric",106.950000,-88.000000,180.000000,top
"R7","10k","R_0402_1005Metric",131.200000,-104.260000,90.000000,top
"R8","2.2k","R_0402_1005Metric",115.800000,-94.500000,-90.000000,top
"R9","1k","R_0402_1005Metric",122.350000,-91.160000,180.000000,top
"R11","10k","R_0402_1005Metric",131.600000,-90.800000,-90.000000,top
"R12","1k","R_0402_1005Metric",126.450000,-94.150000,90.000000,top
"R13","10k","R_0402_1005Metric",120.750000,-93.050000,90.000000,top
"R14","100k","R_0402_1005Metric",133.400000,-104.260000,-90.000000,top
"R15","10k","R_0402_1005Metric",124.450000,-91.150000,0.000000,top
"R18","22k","R_0402_1005Metric",132.300000,-104.260000,90.000000,top
"S1","463092691402","463092691402",125.800000,-99.120000,-90.000000,top
"U2","12v","Copper_Pad",109.000000,-97.800000,90.000000,top
"U3","Trigger","Copper_Pad",98.650000,-107.250000,180.000000,top
"U4","Gnd","Copper_Pad",109.750000,-110.000000,0.000000,top
