"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Q4,Q1";"AP1608P1CP22";2;"LC191PTDT";;;
2;"U2";"Copper_Pad";1;"12v";;;
3;"U4";"Copper_Pad";1;"Gnd";;;
4;"C2,C1,C4";"C_0402_1005Metric";3;"10n";;;
5;"R15,R7,R1,R5,R11,R13";"R_0402_1005Metric";6;"10k";;;
6;"R12,R2,R9";"R_0402_1005Metric";3;"1k";;;
7;"Q8";"PowerPAK_SO-8_Single";1;"SI7149ADP-T1-GE3";;;
8;"D1";"D_SOD-123";1;"D";;;
9;"Q2";"APA3010P3C";1;"C2874188";;;
10;"IC1";"SOIC127P600X175-8N";1;"SI4174DY-T1-GE3";;;
11;"R3,R6";"R_0402_1005Metric";2;"100R";;;
12;"Q7";"SOT-23";1;"2N7002";;;
13;"J4";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
14;"R8";"R_0402_1005Metric";1;"2.2k";;;
15;"C6,C16";"C_0402_1005Metric";2;"100n";;;
16;"C14,C5,C15";"C_0402_1005Metric";3;"22u";;;
17;"C3";"C_0402_1005Metric";1;"1u";;;
18;"R14";"R_0402_1005Metric";1;"100k";;;
19;"IC2";"SOT50P160X60-6N";1;"TPS564247DRLR";;;
20;"LED2,LED1";"LEDC2012X105N";2;"XL-2012IRC-940";;;
21;"R18";"R_0402_1005Metric";1;"22k";;;
22;"L1";"L_0805_2012Metric";1;"1.5u";;;
23;"U3";"Copper_Pad";1;"Trigger";;;
24;"R4";"R_0402_1005Metric";1;"20k";;;
25;"S1";"463092691402";1;"463092691402";;;
26;"IC3";"QFN40P300X300X90-21N";1;"ATTINY816-MNR";;;
27;"LED4";"APA3010P3C";1;"LKIR30102C";;;
28;"IC4";"SOT95P280X145-6N";1;"ZXTD4591E6TA";;;
